,,,,,
189,Golden_1,17,241,0,934
157,Golden_1,18,241,0,961
97,Golden_1,19,241,0,986
103,Golden_1,21,241,0,1008
91,Golden_1,22,241,0,1028
18,Golden_1,25,241,0,922
124,Golden_1,27,241,0,901
92,Golden_1,31,241,0,981
211,Golden_1,35,241,0,1112
25,Golden_1,41,241,0,1133
203,Golden_1,49,241,0,1216
146,Golden_2,22,321,0,1096
204,Golden_2,23,321,0,1082
15,Golden_2,25,321,0,1044
192,Golden_2,27,321,0,1047
39,Golden_2,30,321,0,1154
150,Golden_2,33,321,0,1196
35,Golden_2,36,321,0,1312
95,Golden_2,41,321,0,1446
154,Golden_2,46,321,0,1538
65,Golden_2,54,321,0,1491
16,Golden_2,65,321,0,1338
153,Golden_3,27,401,0,1435
100,Golden_3,29,401,0,1532
86,Golden_3,31,401,0,1605
29,Golden_3,34,401,0,1706
106,Golden_3,37,401,0,1801
23,Golden_3,41,401,0,1868
177,Golden_3,45,401,0,1953
43,Golden_3,51,401,0,2072
59,Golden_3,58,401,0,2141
96,Golden_3,67,401,0,2076
141,Golden_3,81,401,0,1782
111,Golden_4,33,481,0,1970
155,Golden_4,35,481,0,2084
205,Golden_4,37,481,0,2128
127,Golden_4,41,481,0,2297
218,Golden_4,44,481,0,2385
98,Golden_4,49,481,0,2535
185,Golden_4,54,481,0,2671
52,Golden_4,61,481,0,2680
188,Golden_4,69,481,0,2804
20,Golden_4,81,481,0,2532
56,Golden_4,97,481,0,2109
58,Golden_5,14,201,0,1319
118,Golden_5,15,201,0,1354
1,Golden_5,16,201,0,1413
152,Golden_5,17,201,0,1474
7,Golden_5,19,201,0,1596
151,Golden_5,21,201,0,1650
125,Golden_5,23,201,0,1684
209,Golden_5,26,201,0,1621
40,Golden_5,29,201,0,1474
179,Golden_5,34,201,0,1403
166,Golden_5,41,201,0,1393
51,Golden_6,19,281,0,1166
72,Golden_6,21,281,0,1221
8,Golden_6,22,281,0,1264
55,Golden_6,24,281,0,1414
110,Golden_6,26,281,0,1551
67,Golden_6,29,281,0,1707
175,Golden_6,32,281,0,1734
112,Golden_6,36,281,0,1718
46,Golden_6,41,281,0,1581
212,Golden_6,47,281,0,1393
130,Golden_6,57,281,0,1416
117,Golden_7,25,361,0,1285
71,Golden_7,26,361,0,1324
9,Golden_7,28,361,0,1354
196,Golden_7,31,361,0,1397
76,Golden_7,33,361,0,1491
109,Golden_7,37,361,0,1636
34,Golden_7,41,361,0,1825
187,Golden_7,46,361,0,1949
93,Golden_7,52,361,0,2026
136,Golden_7,61,361,0,1938
12,Golden_7,73,361,0,1613
129,Golden_8,30,441,0,1622
114,Golden_8,32,441,0,1694
24,Golden_8,34,441,0,1727
176,Golden_8,37,441,0,1786
138,Golden_8,41,441,0,1936
215,Golden_8,45,441,0,1991
214,Golden_8,49,441,0,2100
69,Golden_8,56,441,0,2197
102,Golden_8,63,441,0,2171
75,Golden_8,74,441,0,2224
173,Golden_8,89,441,0,2209
216,Golden_9,18,256,0,44
48,Golden_9,19,256,0,47
181,Golden_9,20,256,0,49
99,Golden_9,22,256,0,51
68,Golden_9,24,256,0,57
135,Golden_9,26,256,0,61
79,Golden_9,29,256,0,68
78,Golden_9,32,256,0,67
210,Golden_9,37,256,0,68
168,Golden_9,43,256,0,71
87,Golden_9,52,256,0,80
90,Golden_10,22,324,0,51
84,Golden_10,24,324,0,52
137,Golden_10,25,324,0,53
202,Golden_10,27,324,0,59
85,Golden_10,30,324,0,65
26,Golden_10,33,324,0,70
105,Golden_10,36,324,0,74
81,Golden_10,41,324,0,84
88,Golden_10,47,324,0,83
198,Golden_10,54,324,0,82
70,Golden_10,65,324,0,81
217,Golden_11,27,400,0,63
197,Golden_11,29,400,0,71
180,Golden_11,31,400,0,75
53,Golden_11,34,400,0,79
162,Golden_11,37,400,0,88
0,Golden_11,40,400,0,98
120,Golden_11,45,400,0,98
3,Golden_11,50,400,0,101
161,Golden_11,58,400,0,103
73,Golden_11,67,400,0,111
54,Golden_11,80,400,0,121
63,Golden_12,33,484,0,76
145,Golden_12,35,484,0,84
116,Golden_12,38,484,0,93
140,Golden_12,41,484,0,102
172,Golden_12,44,484,0,105
107,Golden_12,49,484,0,108
219,Golden_12,54,484,0,117
160,Golden_12,61,484,0,123
113,Golden_12,70,484,0,130
163,Golden_12,81,484,0,151
147,Golden_12,97,484,0,172
213,Golden_13,17,253,0,48
108,Golden_13,19,253,0,54
4,Golden_13,20,253,0,57
57,Golden_13,22,253,0,58
36,Golden_13,23,253,0,59
61,Golden_13,26,253,0,64
10,Golden_13,29,253,0,70
199,Golden_13,32,253,0,70
80,Golden_13,37,253,0,76
194,Golden_13,43,253,0,86
27,Golden_13,51,253,0,86
131,Golden_14,22,321,0,54
74,Golden_14,23,321,0,55
158,Golden_14,25,321,0,57
83,Golden_14,27,321,0,61
45,Golden_14,30,321,0,69
47,Golden_14,33,321,0,82
144,Golden_14,36,321,0,88
191,Golden_14,41,321,0,96
50,Golden_14,46,321,0,99
22,Golden_14,54,321,0,112
21,Golden_14,65,321,0,112
167,Golden_15,27,397,0,68
139,Golden_15,29,397,0,73
77,Golden_15,31,397,0,77
190,Golden_15,34,397,0,84
132,Golden_15,37,397,0,88
122,Golden_15,40,397,0,99
11,Golden_15,45,397,0,107
169,Golden_15,50,397,0,107
42,Golden_15,57,397,0,111
133,Golden_15,67,397,0,123
183,Golden_15,80,397,0,125
126,Golden_16,33,481,0,84
174,Golden_16,35,481,0,91
170,Golden_16,37,481,0,97
64,Golden_16,41,481,0,106
201,Golden_16,44,481,0,107
207,Golden_16,49,481,0,114
164,Golden_16,54,481,0,117
30,Golden_16,61,481,0,122
115,Golden_16,69,481,0,125
184,Golden_16,81,481,0,145
28,Golden_16,97,481,0,152
82,Golden_17,17,241,0,50
104,Golden_17,18,241,0,52
89,Golden_17,19,241,0,52
41,Golden_17,21,241,0,55
66,Golden_17,22,241,0,56
32,Golden_17,25,241,0,58
159,Golden_17,27,241,0,62
19,Golden_17,31,241,0,70
142,Golden_17,35,241,0,72
178,Golden_17,41,241,0,69
13,Golden_17,49,241,0,66
186,Golden_18,21,301,0,71
193,Golden_18,22,301,0,76
156,Golden_18,24,301,0,80
49,Golden_18,26,301,0,84
128,Golden_18,28,301,0,90
62,Golden_18,31,301,0,88
165,Golden_18,34,301,0,90
2,Golden_18,38,301,0,92
60,Golden_18,43,301,0,99
200,Golden_18,51,301,0,111
171,Golden_18,61,301,0,104
38,Golden_19,25,361,0,87
44,Golden_19,26,361,0,92
31,Golden_19,28,361,0,99
33,Golden_19,31,361,0,110
148,Golden_19,33,361,0,113
208,Golden_19,37,361,0,120
121,Golden_19,41,361,0,124
134,Golden_19,46,361,0,124
195,Golden_19,52,361,0,122
182,Golden_19,61,361,0,121
206,Golden_19,73,361,0,127
94,Golden_20,29,421,0,118
119,Golden_20,31,421,0,120
149,Golden_20,33,421,0,128
101,Golden_20,36,421,0,130
123,Golden_20,39,421,0,135
37,Golden_20,43,421,0,143
14,Golden_20,47,421,0,151
5,Golden_20,53,421,0,157
6,Golden_20,61,421,0,149
17,Golden_20,71,421,0,144
143,Golden_20,85,421,0,157
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Name,N,M,Error1,Error2
